year,month,mean_temp
1990,7,15.695913979282944
1997,11,8.926223692789177
1998,2,8.142843619286328
2012,10,8.996964454999373
2005,5,10.409611976792833
2007,6,14.030687285274379
1995,12,4.7146321072383355
1998,7,14.057345019250118
2010,7,14.932314939983856
2010,12,1.167878547923511
1994,3,7.782407918893882
2015,2,4.851037084377326
2019,10,9.639241938227286
1990,4,8.002305561119897
1990,6,12.68506945517328
1996,11,6.6670034124662605
2001,1,4.315008511062359
2017,3,8.117075272612274
2008,8,14.790260801366049
1992,12,5.499820788563402
1998,1,5.975134404623773
2017,8,14.2650698932781
2002,3,7.6423193318027405
2014,4,9.85769266076179
2009,11,7.788707532936061
2004,6,14.05528899743496
2020,6,12.696000061035157
2005,10,11.837754344527454
2019,5,10.925709679677922
2017,10,11.671048387916338
2018,10,9.979403231106298
1994,12,7.6009966325535565
2000,4,7.069716657540256
2015,12,8.5438194678147
2016,7,14.881118277503598
2016,11,6.125372224515511
2003,2,5.721979660205903
2004,8,15.406172726258893
2012,8,15.320985786299552
2013,2,5.070103503792502
2019,3,7.438268820210009
2012,4,7.172756932419193
2012,12,6.037168755466819
1994,8,13.598778891114778
1999,12,5.645814915514918
2006,12,7.2374013428493935
2002,12,6.495212470239449
1992,7,15.05020908336628
2001,9,13.295721972926279
2007,1,7.239855552661361
2020,3,6.480854842147279
2006,7,16.63534511247281
2007,10,11.986960866073613
1996,10,11.262157872377486
2003,10,9.637927531907007
2004,10,9.336869965838726
1991,5,11.341845874833734
1999,2,6.681676034541202
2000,7,14.992591678875439
2001,6,12.819647768235798
1997,9,13.582466714728687
2002,8,14.975813326505046
2005,6,14.152033312068504
2003,3,7.738208924131866
1993,7,12.676142481001474
1994,9,11.84251231484943
1999,7,15.686613552071675
2018,1,5.821177420352976
1997,3,8.189239425620661
1997,10,11.25970251469251
2018,3,4.775806455149125
1998,9,13.773201839018366
1991,11,7.4497067886416195
1999,4,9.055115744075739
2014,10,11.250121250596017
1991,7,15.45731780819568
2016,5,11.84003763775231
1995,11,8.589688499755123
2002,11,8.831265198381836
2014,12,6.174127478597946
2009,3,7.281311977829785
2000,3,7.742835522025635
1990,11,7.506958340400209
1996,2,3.918749999634964
1999,6,12.35459612342709
2018,8,14.873537641513732
2006,6,14.414829463531033
1996,9,12.431014020479994
2002,5,10.773979817671625
2013,9,13.506750000549687
2008,1,6.997795236897759
1994,10,10.479706308986712
2000,11,6.784034620078614
2013,10,11.933340622985796
2014,5,11.320623834389512
2019,8,15.227639785992203
2008,6,13.123817578896329
2009,1,4.858996522557987
2003,9,13.300666348948607
2003,12,6.686211726024803
2007,9,13.356895176396122
1993,3,6.382043013010695
2003,1,5.680805027672014
2016,2,5.153976858899254
2005,11,7.503488117955502
2008,12,5.409669121057239
2008,10,9.494683643626082
1993,4,8.321083335958214
1994,7,14.266265449793108
2019,6,12.781688741034932
2017,7,14.727849462134865
2004,7,13.883241402007496
2013,12,7.209511035649126
2014,1,5.830198926421343
1990,1,7.098400537702705
2008,9,12.460491898076402
2010,11,5.769325609378589
2011,3,6.711049506918103
2013,3,3.933269348887987
2014,8,13.936997240647193
2019,1,6.400607530056869
2006,10,12.248658624306225
2004,4,8.776656922992226
2007,8,14.535112161192453
2013,6,13.395255925244756
1999,11,8.274059503421917
2010,6,14.635216475098838
1990,8,15.760994628360194
2012,7,13.857307866004206
2012,9,12.449928144988501
1998,3,8.320992184907585
2015,4,8.485117218005575
2015,8,13.791747313981416
2010,5,10.722793783592936
1995,8,16.727367278709206
2019,2,7.909059528895166
2005,1,7.47059135684761
2002,6,12.306540873073322
2016,9,13.984094448228678
2003,11,8.581425828762582
2005,8,15.115793330468751
2005,3,7.9550994453776775
2010,9,13.579309478541836
2011,2,7.0692398350215555
2001,2,5.222890842498696
2008,11,7.73558504818091
2001,7,14.548498800173835
2009,12,3.891661096180849
1994,2,5.4920886996435
1991,9,14.096280876712667
1999,9,13.844171847250983
2011,4,10.890572232426644
1992,3,7.950821388829967
2002,9,13.487223941140094
2004,2,5.686500268649518
2018,5,12.184795873841692
1999,5,11.622990795334394
2011,12,6.607400385686547
2015,11,9.325216669462208
2011,8,13.436963840453856
2016,10,10.74142473094606
1993,1,6.722222222661736
2015,9,12.265872221946717
2009,10,11.762780017264548
1996,6,11.99854167620341
1995,7,15.591233907015093
2009,9,12.907731932955999
1993,8,13.298191829009722
1996,7,13.230445283485073
1997,2,6.853557902057675
2013,7,17.20598387131127
2017,12,6.15579570039506
2014,9,14.114637283318572
2020,4,9.63512778112044
1998,12,6.96485966556668
2001,12,5.613462183373753
2003,5,10.601379693871593
2009,6,14.347033093481654
2013,4,7.205811298236664
2017,9,12.58382222390837
1995,1,5.79637795141147
2000,9,13.445347665539629
2001,3,5.688079091188263
2014,3,6.9831344145244
2009,5,10.92403248522511
1990,3,8.602258069110253
1997,12,6.972362169153111
2015,10,10.699738824742857
1991,12,7.18312425716483
1994,11,10.148559737657715
2000,8,15.00795373135171
2016,6,14.379227778659926
2013,11,6.981488232449939
1992,1,6.067025091973097
1993,2,6.508260159672176
1993,6,12.062361120647854
1993,11,7.233317867737885
2005,7,15.164604423254115
2007,4,10.695100086184738
2008,7,14.84242509746044
1991,8,15.64572880181218
2013,5,9.941090022276647
2011,5,11.097485109923348
2011,7,14.017815571882391
1993,10,8.28176276054714
1999,10,10.810286867917787
2006,9,14.81381704126833
2010,8,14.066273794064337
2016,12,7.542795702962866
2014,2,5.714363100810331
2012,11,6.546123170689576
2016,1,6.336392475816832
2016,4,7.226844449646357
2020,1,6.585532262830404
1994,6,12.29951230916712
2014,6,14.338038891553879
1997,5,11.286064878067194
2003,7,15.12067328512662
2003,4,9.581091415724483
2004,9,13.822427515011816
2004,11,8.992656004918661
1992,4,8.30811728608944
1997,7,15.11976431590807
1998,4,7.245479800008388
2000,12,5.883802774609899
2002,2,6.983147185196886
1992,10,8.14632616808756
1993,5,9.30591397992866
1993,9,11.930151199443886
1997,8,16.027501405483548
2011,6,12.009824447196355
1995,6,13.632456759280629
2017,4,9.010283339464003
2019,4,9.039744447084765
2004,12,7.665925555719212
2000,10,9.702311771133482
2010,10,10.437357520981271
2015,3,6.340129031901478
2011,11,9.967604968869438
2010,2,3.0452916211910024
2010,3,5.7649616412575195
1994,1,6.317313835949146
2019,9,13.426038892030716
2009,7,14.634533746500905
1990,10,11.354556460261986
2001,10,12.23500510904372
2012,1,7.14111774673385
2000,5,11.124867361743235
2006,3,5.949923612387991
2000,1,5.885088602669277
2018,9,12.24352222970128
2008,5,12.728912648611496
2006,1,6.217691114197222
2007,5,11.249337772782031
2008,4,7.836358565102272
1990,5,12.466478501308348
1994,5,10.050526199710145
1992,5,12.057750907173578
2006,4,8.292634049698762
1990,12,5.4465860246670665
2002,7,13.85555056763466
2015,7,13.798440862394148
2019,12,6.605709678254701
2002,4,8.809545354135171
2012,2,7.444747129899675
2000,2,6.731733950031714
1991,6,11.980570998907456
2001,5,11.888392160970623
2007,11,9.381173421667139
1995,10,12.154705970652241
2018,7,16.36207527306772
1995,9,12.562271835158269
2005,12,6.876643541693498
2008,3,6.3973067533956804
1997,1,4.872936566064908
1995,4,8.869720644885675
2014,11,7.9800277794992756
2015,6,12.857222225712405
2020,2,6.066758619567872
1991,2,4.007671960461983
2002,1,7.680894720951482
2018,12,8.250112909443917
1996,4,7.735717269678511
1995,3,6.3238057722457715
1998,6,12.778890154874366
2009,2,5.483718765996573
2018,11,8.26171667061208
2009,4,9.008525296215614
2010,4,8.747422009169414
2001,4,7.840632194350414
1991,1,4.611915781811421
2001,8,14.70315094760801
2003,8,15.674313308032316
2012,3,8.747290325972342
1997,6,12.759223978924929
2000,6,13.237328436044479
2011,10,11.569755792656252
2007,2,6.344748827305189
2012,5,10.906562644191167
2013,1,5.719878606092065
2004,1,6.172234575575485
1996,5,8.12977150707075
2018,6,15.561422774076462
2006,2,5.613286091060458
2002,10,9.849663981319969
2013,8,15.2820237654768
2016,8,15.242913977971641
2017,2,6.615595238644275
2007,12,7.429882638754837
1990,2,6.852946430362672
2017,11,7.507597138759991
1992,2,6.982567052968265
1992,6,14.306975317001342
2015,1,5.292994799473353
2017,5,12.265333334459893
2006,8,14.94105911775004
2007,7,14.196637187756583
2011,1,4.030437835076529
1998,5,11.779946227958234
2004,3,6.933190862415023
2015,5,9.832236560739336
2019,7,15.928161287692285
2005,2,5.642503017571921
1993,12,6.608792326238848
2003,6,13.757086617574476
2018,2,4.054988096836245
2006,5,10.769815671495476
1994,4,7.867553282822945
1996,12,5.013062072692044
1999,1,5.888277770453007
2019,11,6.727616669011199
2020,5,11.971951619040581
1996,8,13.283405467460636
1999,8,15.04012097044444
2008,2,6.573557143923029
1997,4,9.725088386327931
2001,11,9.056176916304818
2007,3,7.10635687940664
2012,6,12.631620432191426
2010,1,2.8293741732319204
2006,11,8.156316094180719
1996,3,5.253979187707106
2017,6,13.879372222701708
2005,4,8.412254736999007
1990,9,12.516708345752622
2017,1,6.475365595421002
1991,10,9.84262246792533
1992,8,13.532974911918208
2011,9,13.403501851889823
1998,10,10.714256501385101
1991,3,7.799865598685755
1992,11,8.037746913164256
1998,8,14.906340085386155
2004,5,11.28358584387935
2014,7,16.0628602199657
1995,2,6.7564095660256935
2018,4,8.52373333868136
1991,4,8.157824082067812
2016,3,6.497435490138909
1998,11,7.929401605413085
2005,9,13.961712286668714
1996,1,5.831626345234252
2009,8,14.73124403055311
1992,9,11.590061728904645
1995,5,10.495324589805778
1999,3,7.209883014924364
